Team Name,Team ID,Team Name Link,League Code,League,Region
Platense,7764,platense,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Racing Club,15,racing-club,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
River Plate,16,river-plate,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Rosario Central,17,rosario-central,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
San Lorenzo,18,san-lorenzo,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Sarmiento (Junín),10158,sarmiento-junin,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Talleres (Córdoba),19,talleres-cordoba,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Tigre,7767,tigre,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Unión (Santa Fe),20,union-santa-fe,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Vélez Sarsfield,21,velez-sarsfield,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Adelaide United,5321,adelaide-united,aus.1,Australian A-League Men,Asia
Brisbane Roar,5326,brisbane-roar,aus.1,Australian A-League Men,Asia
Central Coast Mariners,5325,central-coast-mariners,aus.1,Australian A-League Men,Asia
Macarthur FC,19340,macarthur-fc,aus.1,Australian A-League Men,Asia
Melbourne City FC,11143,melbourne-city-fc,aus.1,Australian A-League Men,Asia
Melbourne Victory,5328,melbourne-victory,aus.1,Australian A-League Men,Asia
Newcastle Jets,5323,newcastle-jets,aus.1,Australian A-League Men,Asia
Perth Glory,5322,perth-glory,aus.1,Australian A-League Men,Asia
Sydney FC,5327,sydney-fc,aus.1,Australian A-League Men,Asia
Wellington Phoenix FC,8352,wellington-phoenix-fc,aus.1,Australian A-League Men,Asia
Western Sydney Wanderers,13696,western-sydney-wanderers,aus.1,Australian A-League Men,Asia
Western United,20086,western-united,aus.1,Australian A-League Men,Asia
Adelaide United,20286,adelaide-united,aus.w.1,Australian A-League Women,Asia
Brisbane Roar,20281,brisbane-roar,aus.w.1,Australian A-League Women,Asia
Canberra United,20288,canberra-united,aus.w.1,Australian A-League Women,Asia
Central Coast Mariners,21991,central-coast-mariners,aus.w.1,Australian A-League Women,Asia
Melbourne City,20280,melbourne-city,aus.w.1,Australian A-League Women,Asia
Melbourne Victory,20284,melbourne-victory,aus.w.1,Australian A-League Women,Asia
Newcastle Jets,20287,newcastle-jets,aus.w.1,Australian A-League Women,Asia
Perth Glory,20282,perth-glory,aus.w.1,Australian A-League Women,Asia
Sydney FC,20285,sydney-fc,aus.w.1,Australian A-League Women,Asia
Wellington Phoenix,21133,wellington-phoenix,aus.w.1,Australian A-League Women,Asia
Western Sydney,20283,western-sydney,aus.w.1,Australian A-League Women,Asia
Western United,21666,western-united,aus.w.1,Australian A-League Women,Asia
Austria Lustenau,21540,austria-lustenau,aut.1,Austrian Bundesliga,Europe
