Team Name,Team ID,Team Name Link,League Code
Sportivo Barracas,17706,sportivo-barracas,arg.4
Victoriano Arenas,10114,victoriano-arenas,arg.4
Yupanqui,10115,yupanqui,arg.4
Argentino (Rosario),10048,argentino-rosario,arg.5
Cambaceres,17694,cambaceres,arg.5
Central Ballester,10100,central-ballester,arg.5
Centro Español,10101,centro-espanol,arg.5
Deportivo Paraguayo,10110,deportivo-paraguayo,arg.5
El Porvenir,10061,el-porvenir,arg.5
Juventud Unida,17698,juventud-unida,arg.5
Lugano,623,lugano,arg.5
Mercedes,21500,mercedes,arg.5
Muñiz,17707,muniz,arg.5
Sportivo Barracas,17706,sportivo-barracas,arg.5
Agropecuario,13913,agropecuario,arg.copa
Almirante Brown,9740,almirante-brown,arg.copa
Argentino Monte Maíz,22166,argentino-monte-maiz,arg.copa
Argentino de Quilmes,17693,argentino-de-quilmes,arg.copa
Argentinos Juniors,3,argentinos-juniors,arg.copa
Arsenal Sarandi,2635,arsenal-sarandi,arg.copa
Atletico Rafaela,9747,atletico-rafaela,arg.copa
Atlético Independiente (Chivilcoy),13930,atletico-independiente-chivilcoy,arg.copa
Atlético Tucumán,9785,atletico-tucuman,arg.copa
Banfield,235,banfield,arg.copa
Barracas Central,10060,barracas-central,arg.copa
Belgrano (Córdoba),4,belgrano-cordoba,arg.copa
Boca Juniors,5,boca-juniors,arg.copa
Central Córdoba (Santiago del Estero),11989,central-cordoba-santiago-del-estero,arg.copa
Central Norte,11993,central-norte,arg.copa
Centro Español,10101,centro-espanol,arg.copa
Chacarita Juniors,6,chacarita-juniors,arg.copa
Ciudad de Bolívar,21799,ciudad-de-bolivar,arg.copa
Colón (Santa Fe),7,colon-santa-fe,arg.copa
Comunicaciones,14074,comunicaciones,arg.copa
Defensa y Justicia,8950,defensa-y-justicia,arg.copa
Defensores de Belgrano,10151,defensores-de-belgrano,arg.copa
Deportivo Laferrere,17695,deportivo-laferrere,arg.copa
Deportivo Maipú,11978,deportivo-maipu,arg.copa
Deportivo Riestra,17702,deportivo-riestra,arg.copa
Douglas Haig,11942,douglas-haig,arg.copa
El Porvenir,10061,el-porvenir,arg.copa
Estudiantes de La Plata,8,estudiantes-de-la-plata,arg.copa
Estudiantes de Río Cuarto,19685,estudiantes-de-rio-cuarto,arg.copa
Excursionistas,10054,excursionistas,arg.copa
Gimnasia (Mendoza),11972,gimnasia-mendoza,arg.copa
Gimnasia La Plata,9,gimnasia-la-plata,arg.copa
Gimnasia y Tiro (Salta),10743,gimnasia-y-tiro-salta,arg.copa
Godoy Cruz Antonio Tomba,6756,godoy-cruz-antonio-tomba,arg.copa
Huracán,10,huracan,arg.copa
Independiente,11,independiente,arg.copa
Independiente Rivadavia,9744,independiente-rivadavia,arg.copa
Instituto (Córdoba),2975,instituto-cordoba,arg.copa
Juventud Unida Universitario,17351,juventud-unida-universitario,arg.copa
Lanús,12,lanus,arg.copa
Los Andes,13,los-andes,arg.copa
Midland,10109,midland,arg.copa
Mitre (Santiago del Estero),11990,mitre-santiago-del-estero,arg.copa
Newell's Old Boys,14,newells-old-boys,arg.copa
Olimpo,2636,olimpo,arg.copa
Platense,7764,platense,arg.copa
Quilmes,2741,quilmes,arg.copa
Racing Club,15,racing-club,arg.copa
River Plate,16,river-plate,arg.copa
Rosario Central,17,rosario-central,arg.copa
San Lorenzo,18,san-lorenzo,arg.copa
San Martín (Burzaco),17692,san-martin-burzaco,arg.copa
San Martín (San Juan),7845,san-martin-san-juan,arg.copa
San Martín (Tucumán),17814,san-martin-tucuman,arg.copa
San Miguel,10058,san-miguel,arg.copa
Sarmiento (Junín),10158,sarmiento-junin,arg.copa
Sportivo Las Parejas,18664,sportivo-las-parejas,arg.copa
Talleres,10161,talleres,arg.copa
Talleres (Córdoba),19,talleres-cordoba,arg.copa
Temperley,10162,temperley,arg.copa
Tigre,7767,tigre,arg.copa
Unión (Santa Fe),20,union-santa-fe,arg.copa
Villa Mitre,11931,villa-mitre,arg.copa
Vélez Sarsfield,21,velez-sarsfield,arg.copa
Argentinos Juniors,3,argentinos-juniors,arg.copa_lpf
Atlético Tucumán,9785,atletico-tucuman,arg.copa_lpf
Banfield,235,banfield,arg.copa_lpf
Barracas Central,10060,barracas-central,arg.copa_lpf
Belgrano (Córdoba),4,belgrano-cordoba,arg.copa_lpf
Boca Juniors,5,boca-juniors,arg.copa_lpf
Central Córdoba (Santiago del Estero),11989,central-cordoba-santiago-del-estero,arg.copa_lpf
Defensa y Justicia,8950,defensa-y-justicia,arg.copa_lpf
Deportivo Riestra,17702,deportivo-riestra,arg.copa_lpf
Estudiantes de La Plata,8,estudiantes-de-la-plata,arg.copa_lpf
Gimnasia La Plata,9,gimnasia-la-plata,arg.copa_lpf
Godoy Cruz Antonio Tomba,6756,godoy-cruz-antonio-tomba,arg.copa_lpf
Huracán,10,huracan,arg.copa_lpf
Independiente,11,independiente,arg.copa_lpf
Independiente Rivadavia,9744,independiente-rivadavia,arg.copa_lpf
Instituto (Córdoba),2975,instituto-cordoba,arg.copa_lpf
Lanús,12,lanus,arg.copa_lpf
Newell's Old Boys,14,newells-old-boys,arg.copa_lpf
Platense,7764,platense,arg.copa_lpf
Racing Club,15,racing-club,arg.copa_lpf
River Plate,16,river-plate,arg.copa_lpf
Rosario Central,17,rosario-central,arg.copa_lpf
San Lorenzo,18,san-lorenzo,arg.copa_lpf
Sarmiento (Junín),10158,sarmiento-junin,arg.copa_lpf
Talleres (Córdoba),19,talleres-cordoba,arg.copa_lpf
Tigre,7767,tigre,arg.copa_lpf
Unión (Santa Fe),20,union-santa-fe,arg.copa_lpf
Vélez Sarsfield,21,velez-sarsfield,arg.copa_lpf
Adelaide United,5321,adelaide-united,aus.1
Brisbane Roar,5326,brisbane-roar,aus.1
Central Coast Mariners,5325,central-coast-mariners,aus.1
Macarthur FC,19340,macarthur-fc,aus.1
Melbourne City FC,11143,melbourne-city-fc,aus.1
Melbourne Victory,5328,melbourne-victory,aus.1
Newcastle Jets,5323,newcastle-jets,aus.1
Perth Glory,5322,perth-glory,aus.1
Sydney FC,5327,sydney-fc,aus.1
Wellington Phoenix FC,8352,wellington-phoenix-fc,aus.1
Western Sydney Wanderers,13696,western-sydney-wanderers,aus.1
Western United,20086,western-united,aus.1
Adelaide United,20286,adelaide-united,aus.w.1
Brisbane Roar,20281,brisbane-roar,aus.w.1
Canberra United,20288,canberra-united,aus.w.1
Central Coast Mariners,21991,central-coast-mariners,aus.w.1
Melbourne City,20280,melbourne-city,aus.w.1
Melbourne Victory,20284,melbourne-victory,aus.w.1
Newcastle Jets,20287,newcastle-jets,aus.w.1
Perth Glory,20282,perth-glory,aus.w.1
Sydney FC,20285,sydney-fc,aus.w.1
Wellington Phoenix,21133,wellington-phoenix,aus.w.1
Western Sydney,20283,western-sydney,aus.w.1
Western United,21666,western-united,aus.w.1
Austria Lustenau,21540,austria-lustenau,aut.1
Austria Vienna,1382,austria-vienna,aut.1
FC Blau-Weiß Linz,21950,fc-blau-weiß-linz,aut.1
FC Salzburg,2790,fc-salzburg,aut.1
LASK Linz,4411,lask-linz,aut.1
Rapid Vienna,519,rapid-vienna,aut.1
SC Rheindorf Altach,4405,sc-rheindorf-altach,aut.1
SK Austria Klagenfurt,20966,sk-austria-klagenfurt,aut.1
SK Sturm Graz,3746,sk-sturm-graz,aut.1
TSV Hartberg,6907,tsv-hartberg,aut.1
WSG Swarovski Tirol,18794,wsg-swarovski-tirol,aut.1
Wolfsberger,13294,wolfsberger,aut.1
Anderlecht,441,anderlecht,bel.1
Antwerp,17544,antwerp,bel.1
Cercle Brugge KSV,3610,cercle-brugge-ksv,bel.1
Club Brugge,570,club-brugge,bel.1
Eupen,4689,eupen,bel.1
KAA Gent,3611,kaa-gent,bel.1
KV Kortrijk,5786,kv-kortrijk,bel.1
KV Mechelen,7879,kv-mechelen,bel.1
KVC Westerlo,606,kvc-westerlo,bel.1
Oud-Heverlee Leuven,5579,oud-heverlee-leuven,bel.1
RWDM,20981,rwdm,bel.1
Racing Genk,938,racing-genk,bel.1
Royal Charleroi SC,3616,royal-charleroi-sc,bel.1
Sint-Truidense,936,sint-truidense,bel.1
Standard Liege,559,standard-liege,bel.1
Union St.-Gilloise,5807,union-st-gilloise,bel.1
Always Ready,19425,always-ready,bol.1
Aurora,6046,aurora,bol.1
Blooming,6047,blooming,bol.1
Bolívar,2681,bolivar,bol.1
GV San José,22174,gv-san-jose,bol.1
Guabirá,9497,guabira,bol.1
Independiente Petrolero,20889,independiente-petrolero,bol.1
Jorge Wilstermann,6054,jorge-wilstermann,bol.1
Nacional Potosí,10311,nacional-potosi,bol.1
Oriente Petrolero,2682,oriente-petrolero,bol.1
Real Santa Cruz,20655,real-santa-cruz,bol.1
Real Tomayapo,20890,real-tomayapo,bol.1
Royal Pari,18984,royal-pari,bol.1
San Antonio Bulo Bulo,22137,san-antonio-bulo-bulo,bol.1
The Strongest,2687,the-strongest,bol.1
Universitario de Vinto,21379,universitario-de-vinto,bol.1
Athletico-PR,3458,athletico-pr,bra.1
Atlético-GO,10357,atletico-go,bra.1
Atlético-MG,7632,atletico-mg,bra.1
Bahia,9967,bahia,bra.1
Botafogo,6086,botafogo,bra.1
Corinthians,874,corinthians,bra.1
Criciúma,9971,criciuma,bra.1
Cruzeiro,2022,cruzeiro,bra.1
Cuiabá,17313,cuiaba,bra.1
Flamengo,819,flamengo,bra.1
Fluminense,3445,fluminense,bra.1
Fortaleza,6272,fortaleza,bra.1
Grêmio,6273,gremio,bra.1
Internacional,1936,internacional,bra.1
Juventude,6270,juventude,bra.1
Palmeiras,2029,palmeiras,bra.1
Red Bull Bragantino,6079,red-bull-bragantino,bra.1
São Paulo,2026,sao-paulo,bra.1
Vasco da Gama,3454,vasco-da-gama,bra.1
Vitória,3457,vitoria,bra.1
Amazonas,21888,amazonas,bra.2
América-MG,6154,america-mg,bra.2
Avaí,9966,avai,bra.2
Botafogo SP,10281,botafogo-sp,bra.2
Brusque,18428,brusque,bra.2
CRB,9970,crb,bra.2
Ceará,9969,ceara,bra.2
Chapecoense,9318,chapecoense,bra.2
Coritiba,3456,coritiba,bra.2
Goiás,3395,goias,bra.2
Guarani,3448,guarani,bra.2
Ituano,4774,ituano,bra.2
Mirassol,9169,mirassol,bra.2
Novorizontino,18127,novorizontino,bra.2
Operario PR,18187,operario-pr,bra.2
Paysandu,15424,paysandu,bra.2
Ponte Preta,3459,ponte-preta,bra.2
Santos,2674,santos,bra.2
Sport,7635,sport,bra.2
Vila Nova-GO,9973,vila-nova-go,bra.2
Altos,18433,altos,bra.3
Amazonas,21888,amazonas,bra.3
América-RN,7634,america-rn,bra.3
Aparecidense,18188,aparecidense,bra.3
Botafogo PB,17317,botafogo-pb,bra.3
Brusque,18428,brusque,bra.3
CSA,7531,csa,bra.3
Confiança,4875,confianca,bra.3
Figueirense,3461,figueirense,bra.3
Floresta,18958,floresta,bra.3
Manaus,18959,manaus,bra.3
Náutico,7633,nautico,bra.3
Operario PR,18187,operario-pr,bra.3
Paysandu,15424,paysandu,bra.3
Pouso Alegre,20852,pouso-alegre,bra.3
Remo,4936,remo,bra.3
São Bernardo,11268,sao-bernardo,bra.3
São José-RS,7389,sao-jose-rs,bra.3
Volta Redonda,4806,volta-redonda,bra.3
Ypiranga,4935,ypiranga,bra.3
Audax Rio,15502,audax-rio,bra.camp.carioca
Bangu,10265,bangu,bra.camp.carioca
Boavista,900,boavista,bra.camp.carioca
Botafogo,6086,botafogo,bra.camp.carioca
Flamengo,819,flamengo,bra.camp.carioca
Fluminense,3445,fluminense,bra.camp.carioca
Madureira,4786,madureira,bra.camp.carioca
Nova Iguaçu,6087,nova-iguacu,bra.camp.carioca
Portuguesa-RJ,18134,portuguesa-rj,bra.camp.carioca
Sampaio Correa RJ,20855,sampaio-correa-rj,bra.camp.carioca
Vasco da Gama,3454,vasco-da-gama,bra.camp.carioca
Volta Redonda,4806,volta-redonda,bra.camp.carioca
Avenida,10266,avenida,bra.camp.gaucho
Brasil de Pelotas,17134,brasil-de-pelotas,bra.camp.gaucho
Caxias do Sul,17131,caxias-do-sul,bra.camp.gaucho
Grêmio,6273,gremio,bra.camp.gaucho
Guarany de Bagé,21369,guarany-de-bage,bra.camp.gaucho
Internacional,1936,internacional,bra.camp.gaucho
Juventude,6270,juventude,bra.camp.gaucho
Novo Hamburgo,7388,novo-hamburgo,bra.camp.gaucho
Santa Cruz (RS),20899,santa-cruz-rs,bra.camp.gaucho
São José-RS,7389,sao-jose-rs,bra.camp.gaucho
São Luiz-RS,7391,sao-luiz-rs,bra.camp.gaucho
Ypiranga,4935,ypiranga,bra.camp.gaucho
América-MG,6154,america-mg,bra.camp.mineiro
Athletic Club (Minas Gerais),20851,athletic-club-minas-gerais,bra.camp.mineiro
Atlético-MG,7632,atletico-mg,bra.camp.mineiro
Cruzeiro,2022,cruzeiro,bra.camp.mineiro
Democrata GV,18396,democrata-gv,bra.camp.mineiro
Ipatinga,4905,ipatinga,bra.camp.mineiro
Itabirito,22142,itabirito,bra.camp.mineiro
Patrocinense,18900,patrocinense,bra.camp.mineiro
Pouso Alegre,20852,pouso-alegre,bra.camp.mineiro
Tombense,17339,tombense,bra.camp.mineiro
Uberlândia,9460,uberlandia,bra.camp.mineiro
Villa Nova-MG,4910,villa-nova-mg,bra.camp.mineiro
Botafogo SP,10281,botafogo-sp,bra.camp.paulista
Corinthians,874,corinthians,bra.camp.paulista
Guarani,3448,guarani,bra.camp.paulista
Inter de Limeira,18963,inter-de-limeira,bra.camp.paulista
Ituano,4774,ituano,bra.camp.paulista
Mirassol,9169,mirassol,bra.camp.paulista
Novorizontino,18127,novorizontino,bra.camp.paulista
Palmeiras,2029,palmeiras,bra.camp.paulista
Ponte Preta,3459,ponte-preta,bra.camp.paulista
Portuguesa,4773,portuguesa,bra.camp.paulista
Red Bull Bragantino,6079,red-bull-bragantino,bra.camp.paulista
Santo André,17720,santo-andre,bra.camp.paulista
Santos,2674,santos,bra.camp.paulista
São Bernardo,11268,sao-bernardo,bra.camp.paulista
São Paulo,2026,sao-paulo,bra.camp.paulista
Água Santa,18128,agua-santa,bra.camp.paulista
ABC,9965,abc,bra.copa_do_brazil
ASA,6196,asa,bra.copa_do_brazil
Aguia de Maraba,15562,aguia-de-maraba,bra.copa_do_brazil
Amazonas,21888,amazonas,bra.copa_do_brazil
América-MG,6154,america-mg,bra.copa_do_brazil
América-RN,7634,america-rn,bra.copa_do_brazil
Anápolis,18424,anapolis,bra.copa_do_brazil
Aparecidense,18188,aparecidense,bra.copa_do_brazil
Athletic Club (Minas Gerais),20851,athletic-club-minas-gerais,bra.copa_do_brazil
Atlético-GO,10357,atletico-go,bra.copa_do_brazil
Audax Rio,15502,audax-rio,bra.copa_do_brazil
Bahia,9967,bahia,bra.copa_do_brazil
Botafogo SP,10281,botafogo-sp,bra.copa_do_brazil
Brasiliense,9968,brasiliense,bra.copa_do_brazil
Brusque,18428,brusque,bra.copa_do_brazil
CEOV Operário,20699,ceov-operario,bra.copa_do_brazil
CRB,9970,crb,bra.copa_do_brazil
Capital FC,22190,capital-fc,bra.copa_do_brazil
Cascavel,20898,cascavel,bra.copa_do_brazil
Caxias do Sul,17131,caxias-do-sul,bra.copa_do_brazil
Cianorte,4909,cianorte,bra.copa_do_brazil
Confiança,4875,confianca,bra.copa_do_brazil
Corinthians,874,corinthians,bra.copa_do_brazil
Coritiba,3456,coritiba,bra.copa_do_brazil
Costa Rica EC,21383,costa-rica-ec,bra.copa_do_brazil
Criciúma,9971,criciuma,bra.copa_do_brazil
Cruzeiro,2022,cruzeiro,bra.copa_do_brazil
Cuiabá,17313,cuiaba,bra.copa_do_brazil
Ferroviário,21901,ferroviario,bra.copa_do_brazil
Fluminense PI,21401,fluminense-pi,bra.copa_do_brazil
Fortaleza,6272,fortaleza,bra.copa_do_brazil
GA Sampaio,22189,ga-sampaio,bra.copa_do_brazil
Humaita,21385,humaita,bra.copa_do_brazil
Iguatu,21865,iguatu,bra.copa_do_brazil
Independente AP,22193,independente-ap,bra.copa_do_brazil
Internacional,1936,internacional,bra.copa_do_brazil
Itabaiana,6214,itabaiana,bra.copa_do_brazil
Itabuna,22192,itabuna,bra.copa_do_brazil
Ituano,4774,ituano,bra.copa_do_brazil
Jacuipense,17713,jacuipense,bra.copa_do_brazil
Ji-Paraná FC,22191,ji-parana-fc,bra.copa_do_brazil
Juventude,6270,juventude,bra.copa_do_brazil
Manauara,22194,manauara,bra.copa_do_brazil
Maranhao,9303,maranhao,bra.copa_do_brazil
Marcílio Dias,21864,marcilio-dias,bra.copa_do_brazil
Maringá,17715,maringa,bra.copa_do_brazil
Moto Club,4908,moto-club,bra.copa_do_brazil
Murici,17722,murici,bra.copa_do_brazil
Nova Iguaçu,6087,nova-iguacu,bra.copa_do_brazil
Nova Venécia,21386,nova-venecia,bra.copa_do_brazil
Olaria,4787,olaria,bra.copa_do_brazil
Operario MS,19400,operario-ms,bra.copa_do_brazil
Operario PR,18187,operario-pr,bra.copa_do_brazil
Paysandu,15424,paysandu,bra.copa_do_brazil
Petrolina S20,20266,petrolina-s20,bra.copa_do_brazil
Porto Velho,20897,porto-velho,bra.copa_do_brazil
Portuguesa Santista,4785,portuguesa-santista,bra.copa_do_brazil
Portuguesa-RJ,18134,portuguesa-rj,bra.copa_do_brazil
Real Brasília,20894,real-brasilia,bra.copa_do_brazil
Real Noroeste,17751,real-noroeste,bra.copa_do_brazil
Remo,4936,remo,bra.copa_do_brazil
Retró,20896,retro,bra.copa_do_brazil
Rio Branco FC,17319,rio-branco-fc,bra.copa_do_brazil
Ríver AC,17709,river-ac,bra.copa_do_brazil
